mphi,is_ps_ps,mchi,gchi,c_higgs,significance
15.0,True,10.0,0.06,0.0,9.839367167959786e-10
15.0,True,10.0,0.6,0.0,9.84342725824037e-06
15.0,True,10.0,6.0,0.0,0.09836215334895405
15.0,True,200.0,0.06,0.0,9.658589908705062e-11
15.0,True,200.0,0.6,0.0,9.626851423975382e-07
15.0,True,200.0,6.0,0.0,0.009635313945293534
15.0,True,30.0,0.06,0.0,1.4772239889836523e-09
15.0,True,30.0,0.6,0.0,1.4801118503210404e-05
15.0,True,30.0,6.0,0.0,0.147937729435427
15.0,True,50.0,0.06,0.0,9.316945942102934e-10
15.0,True,50.0,0.6,0.0,9.315369036262096e-06
15.0,True,50.0,6.0,0.0,0.09314560366604467
15.0,False,10.0,0.06,0.0,1.458299885390593e-08
15.0,False,10.0,0.6,0.0,0.00014584015408908895
15.0,False,10.0,6.0,0.0,1.4588491817843854
15.0,False,200.0,0.06,0.0,3.351424368593358e-08
15.0,False,200.0,0.6,0.0,0.00033522887033590667
15.0,False,200.0,6.0,0.0,3.3541408492802876
15.0,False,30.0,0.06,0.0,5.44766881621897e-08
15.0,False,30.0,0.6,0.0,0.000544463774923901
15.0,False,30.0,6.0,0.0,5.4367750710282055
15.0,False,50.0,0.06,0.0,5.867252943797614e-08
15.0,False,50.0,0.6,0.0,0.0005863257196033999
15.0,False,50.0,6.0,0.0,5.863053591055533
7.0,True,10.0,0.06,0.0,7.1316359661358556e-09
7.0,True,10.0,0.6,0.0,7.13167086283251e-05
7.0,True,10.0,6.0,0.0,0.7134109270570532
7.0,True,200.0,0.06,0.0,1.8609353645613828e-10
7.0,True,200.0,0.6,0.0,1.8632991698830573e-06
7.0,True,200.0,6.0,0.0,0.018633615394150985
7.0,True,30.0,0.06,0.0,5.572416802012232e-09
7.0,True,30.0,0.6,0.0,5.567461638502625e-05
7.0,True,30.0,6.0,0.0,0.5564074916100781
7.0,True,50.0,0.06,0.0,2.763938632017471e-09
7.0,True,50.0,0.6,0.0,2.7646773824464212e-05
7.0,True,50.0,6.0,0.0,0.27630857656674496
7.0,False,10.0,0.06,0.0,1.1727548721407227e-07
7.0,False,10.0,0.6,0.0,0.0011736132079270764
7.0,False,10.0,6.0,0.0,11.729642573095035
7.0,False,200.0,0.06,0.0,1.4139977897023185e-07
7.0,False,200.0,0.6,0.0,0.0014114318254669492
7.0,False,200.0,6.0,0.0,14.146179766299175
7.0,False,30.0,0.06,0.0,3.258890178671923e-07
7.0,False,30.0,0.6,0.0,0.0032578435640540256
7.0,False,30.0,6.0,0.0,32.51547649767349
7.0,False,50.0,0.06,0.0,3.1000959442358076e-07
7.0,False,50.0,0.6,0.0,0.003092467508651304
7.0,False,50.0,6.0,0.0,30.975923906092014
