mphi,is_ps_ps,mchi,gchi,c_higgs,significance
15.0,True,100.0,0.06,0.0,4.950447004130749e-07
15.0,True,100.0,0.18,0.0,3.9813601701240454e-05
15.0,True,100.0,0.6,0.0,0.004910168408638884
15.0,True,100.0,1.8,0.0,0.3977023883127334
15.0,True,100.0,6.0,0.0,49.07440961305894
15.0,True,10.0,0.06,0.0,3.007794174881356e-08
15.0,True,10.0,0.18,0.0,2.4450993895581955e-06
15.0,True,10.0,0.6,0.0,0.0003014631655424411
15.0,True,10.0,1.8,0.0,0.02447560471133479
15.0,True,10.0,6.0,0.0,3.0247414318622847
15.0,True,200.0,0.06,0.0,1.528817922615733e-07
15.0,True,200.0,0.18,0.0,1.2338961815583147e-05
15.0,True,200.0,0.6,0.0,0.0015221292311297916
15.0,True,200.0,1.8,0.0,0.1233008988412023
15.0,True,200.0,6.0,0.0,15.209562818366242
15.0,True,30.0,0.06,0.0,9.295026735972984e-07
15.0,True,30.0,0.18,0.0,7.481634599749961e-05
15.0,True,30.0,0.6,0.0,0.009236751481517022
15.0,True,30.0,1.8,0.0,0.7478379259063882
15.0,True,30.0,6.0,0.0,92.41257071662726
15.0,True,50.0,0.06,0.0,9.925677388463914e-07
15.0,True,50.0,0.18,0.0,7.959562577379155e-05
15.0,True,50.0,0.6,0.0,0.009813227828342411
15.0,True,50.0,1.8,0.0,0.7942423083208363
15.0,True,50.0,6.0,0.0,98.13321414232978
15.0,False,100.0,0.06,0.0,0.015898337219936557
15.0,False,100.0,0.18,0.0,0.1484307080510283
15.0,False,100.0,0.6,0.0,2.283173985495634
15.0,False,100.0,1.8,0.0,70.78788949906956
15.0,False,100.0,6.0,0.0,7132.474505055538
15.0,False,10.0,0.06,0.0,6.9993441208472955e-06
15.0,False,10.0,0.18,0.0,9.483874133913426e-05
15.0,False,10.0,0.6,0.0,0.005121421704916681
15.0,False,10.0,1.8,0.0,0.36817853359175107
15.0,False,10.0,6.0,0.0,45.21071148900765
15.0,False,200.0,0.06,0.0,0.010977489663548088
15.0,False,200.0,0.18,0.0,0.10218154686885914
15.0,False,200.0,0.6,0.0,1.6219679840972168
15.0,False,200.0,1.8,0.0,52.75679106709108
15.0,False,200.0,6.0,0.0,5412.572886925937
15.0,False,30.0,0.06,0.0,0.0034277527922500013
15.0,False,30.0,0.18,0.0,0.03328475065399499
15.0,False,30.0,0.6,0.0,0.679605492134596
15.0,False,30.0,1.8,0.0,30.543770402147537
15.0,False,30.0,6.0,0.0,3435.352131431296
15.0,False,50.0,0.06,0.0,0.011977748481155273
15.0,False,50.0,0.18,0.0,0.11231611000426206
15.0,False,50.0,0.6,0.0,1.8108794260805026
15.0,False,50.0,1.8,0.0,60.74905735284309
15.0,False,50.0,6.0,0.0,6297.112144782444
30.0,True,100.0,0.06,0.0,1.8122000395372867e-07
30.0,True,100.0,0.18,0.0,1.4664941509241149e-05
30.0,True,100.0,0.6,0.0,0.0018099960412175434
30.0,True,100.0,1.8,0.0,0.14682577320983367
30.0,True,100.0,6.0,0.0,18.11918309267188
30.0,True,10.0,0.06,0.0,3.442080244116177e-09
30.0,True,10.0,0.18,0.0,2.800260421239959e-07
30.0,True,10.0,0.6,0.0,3.445449994193199e-05
30.0,True,10.0,1.8,0.0,0.002805328741065316
30.0,True,10.0,6.0,0.0,0.34290762876817515
30.0,True,200.0,0.06,0.0,7.040986158547569e-08
30.0,True,200.0,0.18,0.0,5.70816713755577e-06
30.0,True,200.0,0.6,0.0,0.0007039817253235856
30.0,True,200.0,1.8,0.0,0.057073382270157215
30.0,True,200.0,6.0,0.0,7.0405611248426725
30.0,True,30.0,0.06,0.0,1.9402050254298442e-07
30.0,True,30.0,0.18,0.0,1.5658945582416456e-05
30.0,True,30.0,0.6,0.0,0.001934656654483906
30.0,True,30.0,1.8,0.0,0.15640918704071513
30.0,True,30.0,6.0,0.0,19.340482048380803
30.0,True,50.0,0.06,0.0,2.6825773849864697e-07
30.0,True,50.0,0.18,0.0,2.169532950380252e-05
30.0,True,50.0,0.6,0.0,0.002683404648479128
30.0,True,50.0,1.8,0.0,0.21675831056522737
30.0,True,50.0,6.0,0.0,26.74131372230608
30.0,False,100.0,0.06,0.0,0.0010011856475814773
30.0,False,100.0,0.18,0.0,0.009917098855581612
30.0,False,100.0,0.6,0.0,0.22157917991037662
30.0,False,100.0,1.8,0.0,10.811841449583262
30.0,False,100.0,6.0,0.0,1233.4186123374404
30.0,False,10.0,0.06,0.0,4.504278465799733e-07
30.0,False,10.0,0.18,0.0,6.98160240998544e-06
30.0,False,10.0,0.6,0.0,0.00045166405439178817
30.0,False,10.0,1.8,0.0,0.03351678789526487
30.0,False,10.0,6.0,0.0,4.104108834433897
